animal_id,lrid,tag,rfid,nlis,is_new,draft,sex,dob,sire,dam,breed,colour,weaned,prev_tag,prev_pic,note,note_date,is_exported,is_history,is_deleted,tag_sorter,donordam,whp,esi,status_current,status_date,overall_adg,current_adg,last_weight,last_weight_date,selected,animal_group,current_farm,current_property,current_area,current_farm_date,current_property_date,current_area_date,animal_group_date,sex_date,breed_date,dob_date,colour_date,prev_pic_date,sire_date,dam_date,donordam_date,prev_tag_date,tag_date,rfid_date,nlis_date,modified,full_rfid,full_rfid_date
3584,0,OR0539,964001015704204,"",0,"",Wether,2016-03-22 00:00:00.000,"",14030,"","",0,"","",heavy,2018-01-13 12:24:46.884,0,0,0,"OR                           539","",,,Sold,2018-01-18 19:11:04.445,0.17,0.00,127,2018-01-15 11:56:28.443,0,"","","","",,,,,2024-01-11 18:47:30.033,,2016-03-24 09:20:53.676,,,,2016-03-24 09:21:03.423,,,2017-02-14 11:56:30.022,,,2024-01-11 18:47:30.033,"",
3585,0,OR0703,964001015704203,"",0,"",Wether,2016-03-22 00:00:00.000,"",14030,"","",0,"","",heavy,2018-01-03 11:51:54.000,0,0,0,"OR                           703","",,,Sold,2018-01-22 09:58:51.718,0.13,0.06,109,2018-01-21 10:49:49.265,0,"","","","",,,,,2024-01-11 18:47:37.971,,2016-03-24 09:23:00.261,,,,2016-03-24 09:23:07.443,,,2017-02-15 11:01:50.281,,,2024-01-11 18:47:37.971,"",
3586,0,OR0651,964001015704202,"",0,"",Wether,2016-03-23 00:00:00.000,"",12037,"","",0,"","",heavy,2018-01-03 11:23:50.000,0,0,0,"OR                           651",CORINAD,,,Sold,2018-01-22 09:58:52.106,0.13,-0.11,112.0,2018-01-21 10:57:31.067,0,"","","","",,,,,2024-01-11 18:47:35.631,,2016-03-24 09:32:12.046,,,,2016-03-24 09:32:19.370,2016-06-20 14:01:05.445,,2017-02-14 14:14:15.832,,,2024-01-11 18:47:35.631,"",
3587,0,16186,964001015704181,"",0,"",Female,2016-03-23 00:00:00.000,"",12037,Cull,"",0,"","","New Tag: 16186",2017-02-15 11:19:50.650,0,0,0,"                           16186",CORINAD,,,Sold,2018-11-02 22:30:08.254,0.09,-0.04,107.0,2018-10-17 06:47:48.398,0,"","","","",,,,,2016-03-24 09:38:19.295,2018-08-03 21:34:36.548,2016-03-24 09:38:31.754,,,,2016-03-24 09:38:52.765,2016-06-20 14:01:20.421,,2017-02-15 11:19:50.528,,,2018-11-02 22:30:08.255,"",
3588,0,16085SGM,964001015704178,"",0,"",Female,2016-03-22 00:00:00.000,"",13081,Cull,"",0,"","","New Tag: 16085SGM",2019-03-04 11:19:00.068,0,0,0,"                           16085SGM",LOUISE,,,Sold,2018-11-04 14:51:34.013,0.09,0.25,111.0,2018-10-29 08:18:45.606,0,"","","","",,,,,2016-03-24 09:47:51.609,2018-08-03 21:34:36.409,2016-03-24 09:48:00.646,,,,2016-03-24 09:48:21.535,2016-06-15 13:32:41.436,,2019-03-04 11:18:59.929,,,2019-03-04 11:20:01.110,"",
3589,0,OR0776,964001015704179,"",0,"",Wether,2016-03-22 00:00:00.000,"",13081,"","",0,"","",heavy,2018-01-03 10:31:03.000,0,0,0,"OR                           776","",,,Sold,2018-01-22 09:58:51.993,0.14,0.06,117.0,2018-01-21 11:02:09.761,0,"","","","",,,,,2024-01-11 18:47:41.126,,2016-03-24 09:51:44.793,,,,2016-03-24 09:52:33.643,,,2017-02-15 12:58:48.232,,,2024-01-11 18:47:41.126,"",
3590,0,16017,964001015704180,"",0,"",Female,2016-03-22 00:00:00.000,"",13081,Comm,SGM,0,"","",SELL,2023-08-10 13:38:07.000,0,0,0,"                           16017","",,,Sold,2024-01-08 12:48:31.560,0.02,-0.10,90,2023-08-09 15:15:56.267,0,.,"","","",,,,2023-01-31 08:49:01.309,2016-03-24 09:56:07.165,2021-08-28 12:38:53.019,2016-03-24 09:55:47.661,2019-03-04 10:20:43.061,,,2016-03-24 09:55:59.848,,,2019-03-04 14:00:59.704,,,2024-01-08 12:48:31.586,"",
3591,0,OR0649,964001015704171,"",0,"",Wether,2016-03-22 00:00:00.000,"",12101,"","",0,"","",heavy,2018-01-13 12:24:48.884,0,0,0,"OR                           649","",,,Sold,2018-01-18 19:11:10.652,0.16,-0.08,126,2018-01-15 12:04:45.238,0,"","","","",,,,,2024-01-11 18:47:35.548,,2016-03-24 10:04:42.430,,,,2016-03-24 10:04:59.905,,,2017-02-14 14:12:36.681,,,2024-01-11 18:47:35.548,"",
3592,0,16194,964001015704168,"",0,"",Female,2016-03-22 00:00:00.000,"",12101,Cull,"",0,"","","New Tag: 16194",2017-02-15 11:40:57.357,0,0,0,"                           16194","",,,Sold,2018-11-02 22:30:08.052,0.09,0.00,108.0,2018-10-17 06:56:43.374,0,"","","","",,,,,2016-03-24 10:08:19.407,2018-08-03 21:34:36.454,2016-03-24 10:08:13.762,,,,2016-03-24 10:08:30.412,,,2017-02-15 11:40:57.253,,,2018-11-02 22:30:08.052,"",
3593,0,16273,964001027783946,"",0,"",Female,2016-03-22 00:00:00.000,"",12084,ARG,GREEN,0,16258,"","Weaning group 8/9/23",2023-08-09 14:42:01.325,0,0,0,"                           16273","",,,Current,2016-03-24 10:17:41.314,0.03,-0.07,116.0,2023-08-09 14:42:01.864,0,"AI 2021","","","",,,,2021-10-16 14:11:41.881,2016-03-24 10:19:26.000,2018-08-12 12:35:31.000,2016-03-24 10:19:21.000,2021-10-17 22:10:20.391,,,2016-03-24 10:19:41.000,,2020-03-18 10:24:51.765,2020-03-18 10:25:03.025,2021-03-09 18:07:36.664,,2024-01-11 08:36:53.823,"",
3594,0,16164,964001027784470,"",0,"",Female,2016-03-22 00:00:00.000,"",12084,ARG,"",0,"","","New EID: 964001027784470",2021-03-13 15:36:36.867,0,0,0,"                           16164","",,,Dead,2023-12-06 13:36:45.455,0.08,0.00,121.0,2019-05-24 09:37:11.518,0,"12th BRD GRP","","","",,,,2019-12-08 21:19:07.919,2016-03-24 10:43:44.676,2018-08-12 08:50:06.749,2016-03-24 10:43:40.074,,,,2017-02-27 13:54:28.667,,,2017-02-15 10:52:50.700,2021-03-13 15:36:36.740,,2023-12-06 13:36:45.455,"",
3595,0,OR0770,964001015704177,"",0,"",Wether,2016-03-22 00:00:00.000,TURBO,12009,"","",0,"","",heavy,2018-01-13 12:25:22.884,0,0,0,"OR                           770",CRINCKLYHORNS,,,Sold,2018-01-18 19:11:16.107,0.14,0.00,122,2018-01-15 11:56:59.291,0,"","","","",,,,,2024-01-11 18:47:40.864,,2016-03-24 16:01:42.270,,,2016-03-24 16:31:37.610,2016-06-15 14:42:50.226,2016-06-15 14:42:50.475,,2017-02-15 12:52:34.813,,,2024-01-11 18:47:40.865,"",
3596,0,16238,964001015704176,"",0,"",Female,2016-03-22 00:00:00.000,TURBO,12009,ARG,"",0,"","","Albencia sell",2023-08-27 12:42:05.634,0,0,0,"                           16238",CRINCKLYHORNS,,,Sold,2024-01-09 09:50:41.771,0.05,0.00,177.0,2024-01-02 11:33:49.633,0,.,"","","",,,,2023-01-31 08:49:03.331,2016-03-24 17:00:44.000,2018-08-12 09:50:07.000,2016-03-24 17:00:49.000,,,2016-03-24 17:31:20.000,2016-06-15 15:43:17.000,2016-06-15 14:43:17.589,,2017-02-15 12:32:14.573,,,2024-01-09 09:50:41.772,"",
3597,0,OR0657,964001015704175,"",0,"",Wether,2016-03-22 00:00:00.000,TURBO,12107,"","",0,"","","New Tag: OR0657",2017-02-14 14:19:41.673,0,0,0,"OR                           657","",,,Sold,2017-07-28 07:10:41.704,0.21,0.21,111.0,2017-05-29 10:33:24.595,0,"","","","",,,,,2024-01-11 18:47:35.885,,2016-03-24 16:04:38.838,,,2016-04-29 15:13:48.773,2016-04-29 15:13:48.916,,,2017-02-14 14:19:41.445,,,2024-01-11 18:47:35.885,"",
3598,0,16081,964001027783497,"",0,"",Female,2016-03-22 00:00:00.000,"",12107,ARG,"",0,19248,"","Weaning group 8/9/23",2023-08-09 12:44:40.807,0,0,0,"                           16081","",,,Current,2016-03-24 16:06:35.101,0.04,-0.09,127.0,2023-08-09 12:44:44.080,0,"21st BRD GRP","","","",,,,2022-02-21 09:07:29.029,2016-03-24 16:07:39.085,2018-08-12 08:52:37.341,2016-03-24 16:07:43.185,,,,2017-02-27 13:44:41.721,,2023-02-02 17:39:16.627,2017-02-14 13:16:00.983,2020-01-15 11:51:39.980,,2024-01-10 09:29:41.610,"",
3599,0,O0759,964001015704172,"",0,"",Wether,2016-03-22 00:00:00.000,TURBO,10011,"","",0,"","","New Tag: O0759",2017-02-15 12:37:48.743,0,0,0,"O                            759",BUGSY,,,Sold,2017-07-28 07:10:38.296,0.20,-0.05,104.0,2017-05-29 10:36:15.546,0,"","","","",,,,,2024-01-11 18:47:16.054,,2016-03-24 16:12:02.722,,,2016-03-24 16:28:55.389,2016-06-15 13:52:01.644,2016-06-15 13:52:01.796,,2017-02-15 12:37:48.615,,,2024-01-11 18:47:16.054,"",
3600,0,OR0726,964001015704173,"",0,"",Wether,2016-03-22 00:00:00.000,TURBO,10011,"","",0,"","","Small bump left jaw bone",2017-02-15 11:55:04.430,0,0,0,"OR                           726",BUGSY,,,Sold,2018-04-07 13:16:15.133,0.13,0.09,109.0,2018-02-05 10:30:10.587,0,"","","","",,,,,2024-01-11 18:47:38.871,,2016-03-24 16:14:10.412,,,2016-03-24 16:29:08.416,2016-06-15 13:52:37.571,2016-06-15 13:52:37.736,,2017-02-15 11:54:18.209,,,2024-01-11 18:47:38.871,"",
3601,0,16053,964001027784177,"",0,"",Female,2016-03-22 00:00:00.000,TURBO,11050,ARG,"",0,"","",Cull,2021-08-27 12:57:09.221,0,0,0,"                           16053",EMMA,,,Sold,2022-09-27 16:42:39.843,0.05,0.29,150.0,2022-02-26 13:30:50.290,0,"AI 2019","","","",,,,2019-12-08 22:40:29.652,2016-03-24 16:17:49.895,2018-08-12 08:50:04.562,2016-03-24 16:17:59.041,,,2016-03-24 16:18:05.294,2016-06-15 14:31:48.278,2016-06-15 14:31:48.436,,2017-02-14 12:20:59.591,2020-11-11 12:19:46.918,,2022-09-27 16:42:39.843,"",
3602,0,OR0755,964001015704165,"",0,"",Wether,2016-03-22 00:00:00.000,"",14074,"","",0,"","",heavy,2018-01-03 12:18:25.000,0,0,0,"OR                           755","",,,Sold,2018-01-22 09:58:51.878,0.15,0.06,115.0,2018-01-21 10:55:14.486,0,"","","","",,,,,2024-01-11 18:47:40.218,,2016-03-24 16:24:12.316,,,,2017-02-27 14:40:53.748,,,2017-02-15 12:33:45.704,,,2024-01-11 18:47:40.218,"",
3603,0,OR0717,964001015704166,"",0,"",Wether,2016-03-22 00:00:00.000,"",14074,"","",0,"","",heavy,2018-01-03 12:17:31.000,0,0,0,"OR                           717","",,,Sold,2018-04-07 13:16:14.534,0.13,0.00,108.0,2018-02-05 10:10:42.111,0,"","","","",,,,,2024-01-11 18:47:38.557,,2016-03-24 16:26:32.195,,,,2017-02-27 14:30:23.304,,,2017-02-15 11:27:54.680,,,2024-01-11 18:47:38.557,"",
3604,0,16107,964001015704164,"",0,"",Female,2016-03-22 00:00:00.000,TURBO,10014,Comm,"",0,16295,"","Weaning group 8/9/23",2023-08-09 15:26:08.644,0,0,0,"                           16107",ZENA,,,Sold,2024-01-09 09:50:41.403,0.03,0.05,111.0,2024-01-02 12:31:14.806,0,"21st BRD GRP","","","",,,,2022-02-21 09:07:29.196,2016-03-24 16:39:23.000,2021-08-27 16:11:46.304,2016-03-24 16:39:28.000,,,2016-04-29 14:40:32.000,2016-04-29 14:40:32.000,2016-06-15 13:53:30.756,2019-05-24 12:00:19.977,2019-05-24 12:00:28.975,,,2024-01-09 09:50:41.404,"",
3605,0,OR0530,964001015704163,"",0,"",Wether,2016-03-22 00:00:00.000,"",10014,"","",0,"","","New Tag: OR0530",2017-02-14 11:40:42.221,0,0,0,"OR                           530",ZENA,,,Sold,2018-04-07 13:16:07.666,0.13,0.17,103.0,2018-02-05 10:20:27.975,0,"","","","",,,,,2024-01-11 18:47:29.628,,2016-03-24 16:42:59.749,,,,2016-06-15 13:54:07.466,2016-06-15 13:54:07.648,,2017-02-14 11:40:42.126,,,2024-01-11 18:47:29.628,"",
3606,0,OR0616,964001015704162,"",0,"",Wether,2016-03-22 00:00:00.000,"",14025,"","",0,"","","New Tag: OR0616",2017-02-14 13:38:01.390,0,0,0,"OR                           616","",,,Sold,2018-04-07 13:16:10.818,0.14,0.15,105.0,2018-02-05 10:14:41.912,0,"","","","",,,,,2024-01-11 18:47:33.773,,2016-03-24 16:47:41.928,,,,2017-02-27 14:21:23.296,,,2017-02-14 13:38:01.280,,,2024-01-11 18:47:33.774,"",
3607,0,16254,964001015704272,"",0,"",Female,2016-03-22 00:00:00.000,"",14025,ARG,"",0,"","",Cull,2021-08-28 11:04:25.469,0,0,0,"                           16254","",,,Sold,2022-09-27 16:41:33.558,0.07,0.32,173.0,2022-02-27 12:57:42.222,0,"3rd BRD GRP","","","",,,,2021-02-26 09:56:24.137,2016-03-24 16:56:18.107,2018-08-12 08:50:08.241,2016-03-24 16:56:22.057,,,,2017-02-27 14:08:25.925,,,2017-02-15 12:49:22.011,,,2022-09-27 16:41:33.558,"",
3608,0,16013,964001015704275,"",0,"",Female,2016-03-24 00:00:00.000,TURBO,11012,Cull,"",0,"","","",,0,0,0,"                           16013",PENNY,,,Sold,2018-11-02 22:30:09.496,0.11,0.02,121.0,2018-10-17 08:03:41.071,0,"","","","",,,,,2016-03-24 17:03:57.786,2018-08-03 21:34:36.594,2016-03-24 17:04:02.073,,,2016-03-24 17:04:09.605,2016-06-15 14:06:49.923,2016-06-15 14:06:50.086,,2017-02-14 11:21:42.607,,,2018-11-02 22:30:09.496,"",
3609,0,16184,964001015704274,"",0,"",Female,2016-03-24 00:00:00.000,TURBO,11012,ARG,"",0,16289,"","",,0,0,0,"                           16184",PENNY,,,Dead,2023-12-06 13:36:45.126,0.09,0.28,167.0,2020-12-04 11:46:23.207,0,"6th BRD GRP","","","",,,,2021-02-26 09:59:11.830,2016-03-24 17:07:57.278,2018-08-12 08:50:07.102,2016-03-24 17:08:00.600,,,2016-03-24 17:11:26.931,2016-06-15 14:07:06.027,2016-06-15 14:07:06.303,2020-03-03 15:33:39.173,2017-02-15 11:18:22.463,,,2023-12-06 13:36:45.126,"",
3610,0,16097,964001027785009,"",0,"",Female,2016-03-24 00:00:00.000,010TURBO,11012,ARG,"",0,"","","Sell as cull",2023-02-05 16:13:09.243,0,0,0,"                           16097","",,,Sold,2024-01-08 11:56:10.208,0.05,0.00,147.0,2023-02-05 16:13:00.039,0,.,"","","",,,,2023-01-31 08:48:55.570,2016-03-24 17:10:52.302,2018-08-12 08:50:05.495,2016-03-24 17:10:56.517,,,2016-03-30 18:30:09.548,2016-03-30 18:30:24.834,,,2017-02-14 13:52:47.815,2021-04-02 12:57:04.895,,2024-01-08 11:56:10.209,"",
3611,0,OR0655,964001015704276,"",0,"",Wether,2016-03-23 00:00:00.000,TURBO,12053,"","",0,"","","New Tag: OR0655",2017-02-14 14:18:22.323,0,0,0,"OR                           655","",,,Sold,2017-07-28 07:10:41.553,0.20,-0.21,111.0,2017-05-29 10:33:09.255,0,"","","","",,,,,2024-01-11 18:47:35.802,,2016-03-24 17:16:38.214,,,2016-04-29 15:05:47.516,2016-04-29 15:05:47.672,,,2017-02-14 14:18:22.208,,,2024-01-11 18:47:35.802,"",
3612,0,OR0596,964001015704277,"",0,"",Wether,2016-03-23 00:00:00.000,"",12053,"","",0,"","",heavy,2018-01-13 12:24:19.884,0,0,0,"OR                           596","",,,Sold,2018-01-18 19:11:08.438,0.17,0.17,135,2018-01-15 12:08:51.978,0,"","","","",,,,,2024-01-11 18:47:32.821,,2016-03-24 17:18:01.670,,,,2017-02-27 14:20:02.560,,,2017-02-14 13:20:10.957,,,2024-01-11 18:47:32.821,"",
3613,0,OR0709,964001015704278,"",0,"",Wether,2016-03-23 00:00:00.000,TURBO,12024,"","",0,"","",heavy,2018-01-03 12:22:21.000,0,0,0,"OR                           709",NADIA,,,Sold,2018-01-22 09:58:52.230,0.15,0.50,117.0,2018-01-21 11:02:34.310,0,"","","","",,,,,2024-01-11 18:47:38.222,,2016-03-24 17:26:43.479,,,2016-03-24 17:26:53.566,2016-06-20 13:49:44.488,2016-06-20 13:49:44.657,,2017-02-15 11:14:30.897,,,2024-01-11 18:47:38.222,"",
3614,0,OR0711,964001015704279,"",0,"",Wether,2016-03-23 00:00:00.000,TURBO,12024,"","",0,"","",heavy,2018-01-03 12:23:00.000,0,0,0,"OR                           711",NADIA,,,Sold,2018-01-22 09:58:52.388,0.15,0.17,120.0,2018-01-21 10:53:31.399,0,"","","","",,,,,2024-01-11 18:47:38.264,,2016-03-24 17:29:47.523,,,2016-03-24 17:48:52.459,2016-06-20 13:50:11.792,2016-06-20 13:50:11.963,,2017-02-15 11:16:52.942,,,2024-01-11 18:47:38.264,"",
3615,0,16074,964001015704281,"",0,"",Female,2016-03-24 00:00:00.000,010TURBO,11042,ARG,"",0,"","","New Tag: 16074",2017-02-14 13:03:58.529,0,0,0,"                           16074",PENNYROSE,,,Sold,2020-02-16 21:29:26.471,0.07,0.12,141.0,2020-02-14 11:31:10.034,0,"7th BRD GRP","","","",,,,2019-12-08 21:07:29.616,2016-03-25 07:50:00.238,2018-08-12 08:50:05.232,2016-03-25 07:50:07.086,,,2016-03-25 07:50:26.292,2016-03-25 07:49:40.584,2016-06-15 14:21:18.164,,2017-02-14 13:03:58.415,,,2021-10-10 15:15:49.842,"",
3616,0,16042,964001015704280,"",0,"",Female,2016-03-24 00:00:00.000,010TURBO,11042,ARG,"",0,"","",Cull,2021-08-28 08:38:12.667,0,0,0,"                           16042",PENNYROSE,,,Sold,2022-09-27 16:41:30.340,0.09,0.17,218.0,2022-02-27 13:03:03.731,0,"2nd BRD GRP","","","",,,,2021-02-26 09:55:12.419,2016-03-25 07:52:23.223,2018-08-12 08:52:37.207,2016-03-25 07:52:28.172,,,2016-03-25 07:52:15.450,2016-03-25 07:52:20.632,2016-06-15 14:21:37.781,,2017-02-14 12:00:09.393,,,2022-09-27 16:41:30.340,"",
3617,0,OR0742,964001015704271,"",0,"",Wether,2016-03-24 00:00:00.000,010TURBO,11042,"","",0,"","",heavy,2018-01-03 11:18:21.000,0,0,0,"OR                           742","",,,Sold,2018-01-22 09:58:52.974,0.15,0.17,121.0,2018-01-21 10:42:29.276,0,"","","","",,,,,2024-01-11 18:47:39.561,,2016-03-25 07:54:21.858,,,2016-03-25 07:54:07.233,2016-03-25 07:54:13.956,,,2017-02-15 12:20:14.542,,,2024-01-11 18:47:39.561,"",
3618,0,16080,964001015704269,"",0,"",Female,2016-03-24 00:00:00.000,"",14039,"","",0,"","","",,0,0,0,"                           16080","",,,Dead,2018-03-19 15:39:08.315,0.17,0.24,126.0,2018-01-23 12:37:02.812,0,"","","","",,,,,2016-03-25 08:05:07.424,,2016-03-25 08:05:13.125,,,,2016-03-25 08:05:23.278,,,2017-02-14 13:15:32.295,,,2018-03-19 15:39:22.052,"",
3619,0,OR0611,964001015704270,"",0,"",Wether,2016-03-24 00:00:00.000,"",14039,"","",0,"","",heavy,2018-01-03 11:04:06.000,0,0,0,"OR                           611","",,,Sold,2018-01-22 09:58:52.845,0.14,0.06,107,2018-01-21 10:55:26.969,0,"","","","",,,,,2024-01-11 18:47:33.493,,2016-03-25 08:07:07.494,,,,2016-03-25 08:06:58.449,,,2017-02-14 13:35:10.118,,,2024-01-11 18:47:33.493,"",
3620,0,OR0541,964001015704268,"",0,"",Wether,2016-03-24 00:00:00.000,010TURBO,11023,"","",0,"","",heavy,2018-01-13 12:24:27.884,0,0,0,"OR                           541",CLEO,,,Sold,2018-01-18 19:11:04.802,0.17,-0.08,130.0,2018-01-15 11:58:50.425,0,"","","","",,,,,2024-01-11 18:47:30.118,,2016-03-25 08:18:42.997,,,2016-03-25 08:18:32.278,2016-03-25 08:18:23.452,2016-06-15 14:11:46.033,,2017-02-14 11:59:10.952,,,2024-01-11 18:47:30.118,"",
3621,0,OR0623,964001015704267,"",0,"",Wether,2016-03-24 00:00:00.000,010TURBO,11023,"","",0,"","",heavy,2018-01-13 12:25:08.884,0,0,0,"OR                           623",CLEO,,,Sold,2018-01-18 19:11:09.831,0.15,0.08,121,2018-01-15 11:53:19.093,0,"","","","",,,,,2024-01-11 18:47:34.208,,2016-03-25 08:20:31.559,,,2016-03-25 08:20:26.429,2016-03-25 08:20:15.979,2016-06-15 14:11:57.616,,2017-02-14 13:45:51.607,,,2024-01-11 18:47:34.208,"",
3622,0,OR0526,964001015704265,"",0,"",Wether,2016-03-24 00:00:00.000,"",14016,"","",0,"","",heavy,2018-01-03 11:18:43.000,0,0,0,"OR                           526","",,,Sold,2018-01-22 09:58:52.504,0.14,0.06,116.0,2018-01-21 11:01:06.917,0,"","","","",,,,,2024-01-11 18:47:29.362,,2016-03-25 08:28:21.917,,,,2016-03-25 08:28:13.450,,,2017-02-14 11:30:07.955,,,2024-01-11 18:47:29.363,"",
3623,0,16069,964001015704266,"",0,"",Female,2016-03-24 00:00:00.000,"",14016,ARG,"",0,"","","Open US 2/6 2019",2019-02-06 13:26:48.451,0,0,0,"                           16069","",,,Sold,2019-10-11 14:55:13.073,0.10,0.25,140.0,2019-07-24 04:55:53.059,0,"7th BRD GRP","","","",,,,2019-03-02 19:22:23.901,2016-03-25 08:30:41.174,2018-08-12 08:52:37.298,2016-03-25 08:30:36.246,,,,2016-03-25 08:30:31.371,,,2017-02-14 12:59:02.737,,,2021-10-10 15:15:49.842,"",
3624,0,OR0714,964001015704264,"",0,"",Female,2016-03-24 00:00:00.000,010TURBO,12038,"","",0,"","",heavy,2018-01-13 12:24:21.884,0,0,0,"OR                           714",KATE,,,Sold,2018-01-18 19:11:13.716,0.15,-0.08,133,2018-01-15 12:05:02.190,0,"","","","",,,,,2016-03-25 09:03:24.532,,2016-03-25 09:03:28.698,,,2016-03-25 09:03:21.508,2016-03-25 09:03:06.619,2016-06-20 14:01:55.084,,2017-02-15 11:23:31.323,,,2018-01-18 19:11:13.716,"",
3625,0,16103,964001015704262,"",0,"",Female,2016-03-26 00:00:00.000,"",12025,Cull,"",0,"","","Not great mom.skinny kids",2018-03-28 12:50:58.930,0,0,0,"                           16103",SOAPY,,,Sold,2018-11-02 22:30:09.273,0.12,-0.02,130.0,2018-10-17 07:31:49.025,0,"","","","",,,,,2016-03-28 11:37:15.041,2018-08-03 21:41:11.572,2016-03-28 11:37:22.654,,,,2016-06-20 13:48:30.890,2016-06-20 13:48:31.050,,2017-02-14 14:09:08.101,,,2018-11-02 22:30:09.273,"",
3626,0,OR0775,964001015704263,"",0,"",Wether,2016-03-26 00:00:00.000,"",12025,"","",0,"","",heavy,2018-01-03 12:47:23.000,0,0,0,"OR                           775",SOAPY,,,Sold,2018-01-22 09:58:53.261,0.14,-0.06,117.0,2018-01-21 10:44:28.748,0,"","","","",,,,,2024-01-11 18:47:41.084,,2016-03-28 11:42:45.071,,,,2016-06-20 13:48:56.126,2016-06-20 13:48:56.414,,2017-02-15 12:58:21.598,,,2024-01-11 18:47:41.084,"",
3627,0,16052,964001015704232,"",0,"",Female,2016-03-26 00:00:00.000,"",14070,Comm,"",0,"","",Sell,2023-09-09 07:49:51.893,0,0,0,"                           16052","",,,Sold,2024-01-09 09:50:42.082,0.04,0.00,133.0,2024-01-02 12:10:29.146,0,.,"","","",,,,2023-01-31 08:49:05.062,2016-03-28 11:48:21.077,2021-08-28 09:56:11.991,2016-03-28 11:48:26.433,,,,2017-02-27 13:42:15.658,,,2017-02-14 12:20:15.901,,,2024-01-09 09:50:42.082,"",
3628,0,OR0708,964001015704233,"",0,"",Wether,2016-03-26 00:00:00.000,"",14060,"","",0,"","",heavy,2018-01-13 12:24:41.884,0,0,0,"OR                           708","",,,Sold,2018-01-18 19:11:13.393,0.16,0.00,129.0,2018-01-15 12:11:59.807,0,"","","","",,,,,2024-01-11 18:47:38.179,,2016-03-28 11:53:41.685,,,,2017-02-27 14:29:55.399,,,2017-02-15 11:13:57.475,,,2024-01-11 18:47:38.180,"",
3629,0,14060B,964001015704234,"",0,"",Wether,2016-03-26 00:00:00.000,"",14060,"","",0,"","",FTT,2016-04-08 11:17:01.180,0,0,0,"                           14060B","",,,Dead,2016-04-08 11:18:37.056,"","","",,0,"","","","",,,,,2024-01-11 18:47:04.297,,2016-03-28 11:56:45.317,,,,2024-01-12 11:26:29.730,,,2016-03-28 11:55:58.007,,,2024-01-12 11:26:29.989,"",
3630,0,16043,964001015704235,"",0,"",Female,2016-03-26 00:00:00.000,"",11010,ARG,"",0,"","","Sell as cull",2023-02-07 13:56:32.059,0,0,0,"                           16043",SPECIAL,,,Sold,2024-01-08 11:56:30.116,0.05,0.00,153.0,2023-02-07 13:56:25.158,0,"20th BRD GRP","","","",,,,2022-02-21 09:14:07.576,2016-03-28 12:01:52.157,2018-08-12 08:50:04.268,2016-03-28 12:01:57.420,,,,2016-06-15 14:05:51.160,2016-06-15 14:05:51.420,,2017-02-14 12:00:46.601,,,2024-01-08 11:56:30.116,"",
3631,0,16065,964001035779224,"",0,"",Female,2016-03-26 00:00:00.000,"",11010,ARG,"",0,"","","Weaning group 8/9/23",2023-08-09 15:23:27.297,0,0,0,"                           16065",SPECIAL,,,Current,2016-03-28 12:03:03.281,0.04,-0.04,125.0,2023-08-09 15:23:27.402,0,.,"","","",,,,2023-01-31 08:48:54.108,2016-03-28 12:04:01.679,2018-08-12 08:50:04.983,2016-03-28 12:04:07.532,,,,2016-06-15 14:06:14.950,2016-06-15 14:06:15.091,,2017-02-14 12:54:24.001,2021-08-28 13:36:17.175,,2024-01-11 07:36:11.424,"",
3632,0,OR0782,964001015704237,"",0,"",Wether,2016-03-26 00:00:00.000,"",12121,"","",0,"","",heavy,2018-01-03 10:50:13.000,0,0,0,"OR                           782",JOAN,,,Sold,2018-04-07 13:16:16.989,0.13,0.12,112.0,2018-02-05 10:23:19.432,0,"","","","",,,,,2024-01-11 18:47:41.340,,2016-03-28 12:09:16.758,,,,2016-06-20 12:12:29.705,2016-06-20 12:12:29.859,,2017-02-15 13:04:20.635,,,2024-01-11 18:47:41.340,"",
3633,0,16171,964001015704238,"",0,"",Female,2016-03-26 00:00:00.000,"",12121,Cull,"",0,"","","",,0,0,0,"                           16171",JOAN,,,Sold,2018-11-02 22:30:09.079,0.10,0.00,115.0,2018-10-17 08:21:58.258,0,"","","","",,,,,2016-03-28 12:11:38.767,2018-08-07 10:25:29.315,2016-03-28 12:11:44.579,,,,2016-06-20 12:12:52.699,2016-06-20 12:12:52.858,,2017-02-15 10:58:45.996,,,2018-11-02 22:30:09.079,"",
3634,0,OR0614,964001015704239,"",0,"",Wether,2016-03-25 00:00:00.000,"",12123,"","",0,"","","New Tag: OR0614",2017-02-14 13:36:59.409,0,0,0,"OR                           614",WANDA,,,Sold,2017-07-28 07:10:39.377,0.20,0.05,107.0,2017-05-29 10:32:06.906,0,"","","","",,,,,2024-01-11 18:47:33.691,,2016-03-28 12:17:21.797,,,,2016-06-20 12:13:43.855,2016-06-20 12:13:44.019,,2017-02-14 13:36:59.291,,,2024-01-11 18:47:33.691,"",
